repo,dependencyFile,url,http://org.softlang.com/Folder,http://org.softlang.com/File,http://org.softlang.com/groupId,http://org.softlang.com/artifactId,http://org.softlang.com/relativePath,http://org.softlang.com/Pom,http://org.softlang.com/MavenDependency,http://org.softlang.com/Property,http://org.softlang.com/ParentBlock,http://org.softlang.com/ParentPom,http://org.softlang.com/resolvable
GoogleContainerTools/jib,https://github.com/GoogleContainerTools/jib,https://github.com/GoogleContainerTools/jib/blob/c3a5d64e8347d7f4e396539b820159de464366c4/examples/multi-module/hello-service/pom.xml,470,715,16,16,1,16,8,10,8,2,47
dyc87112/SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning/blob/88d49d7d668bb5510b77ebcf4990aa4a9937c163/Chapter1/pom.xml,669,359,289,289,59,62,229,126,60,4,816
AsyncHttpClient/async-http-client,https://github.com/AsyncHttpClient/async-http-client,https://github.com/AsyncHttpClient/async-http-client/blob/23095ea96a35107dac5cf8b4fdc1cd851726ae11/example/pom.xml,207,391,70,70,NaN,13,57,23,13,2,207
commonsguy/cw-omnibus,https://github.com/commonsguy/cw-omnibus,https://github.com/commonsguy/cw-omnibus/blob/489d24d6212fec11656ed918c88153099ae89204/external/ActionBarSherlock/pom.xml,10737,13985,11,11,3,3,8,NaN,3,NaN,25
apache/flink,https://github.com/apache/flink,https://github.com/apache/flink/blob/ddba1b69f43cbb885e178dfaafa120f1fe196a13/flink-quickstart/flink-quickstart-java/src/main/resources/archetype-resources/pom.xml,3061,8911,1023,1023,111,123,902,75,121,14,2954
JakeWharton/DiskLruCache,https://github.com/JakeWharton/DiskLruCache,https://github.com/JakeWharton/DiskLruCache/blob/3e016356cfc7e5f9644a7a732fe0223e9742e024/pom.xml,12,15,4,4,NaN,1,3,5,1,NaN,16
weibocom/motan,https://github.com/weibocom/motan,https://github.com/weibocom/motan/blob/092aabca33108cbe6970776dd506b44681ae8e32/motan-extension/pom.xml,467,746,147,147,NaN,25,123,25,24,6,431
forezp/SpringCloudLearning,https://github.com/forezp/SpringCloudLearning,https://github.com/forezp/SpringCloudLearning/blob/3767a62cc018081965830b9fd56d868a9d701c79/chapter5/service-zuul/pom.xml,1456,3706,512,512,59,130,397,198,115,17,1350
antlr/antlr4,https://github.com/antlr/antlr4,https://github.com/antlr/antlr4/blob/98dc2c0f0249a67b797b151da3adf4ffbc1fd6a1/antlr4-maven-plugin/pom.xml,257,1876,46,46,3,12,38,8,8,1,141
pardom-zz/ActiveAndroid,https://github.com/pardom-zz/ActiveAndroid,https://github.com/pardom-zz/ActiveAndroid/blob/08c6335cd7324c6e72da536b0c6fffa5a798f6a2/pom.xml,30,88,4,4,NaN,2,3,8,1,1,19
scribejava/scribejava,https://github.com/scribejava/scribejava,https://github.com/scribejava/scribejava/blob/4f14bdbf5e9148e077eb85ef2398f2c39005e650/pom.xml,146,275,29,29,6,7,22,NaN,7,1,86
apache/incubator-skywalking,https://github.com/apache/incubator-skywalking,https://github.com/apache/incubator-skywalking/blob/e93b3f0d16fd1b28e6342e4e179f313922e33757/apm-application-toolkit/apm-toolkit-log4j-1.x/pom.xml,1809,1698,347,347,NaN,108,239,230,108,22,1133
hs-web/hsweb-framework,https://github.com/hs-web/hsweb-framework,https://github.com/hs-web/hsweb-framework/blob/8a4cfabda14a362ce205f5fb6e43d48db5a4de57/hsweb-authorization/hsweb-authorization-api/pom.xml,1642,1549,647,647,48,130,518,19,129,31,1687
vipshop/vjtools,https://github.com/vipshop/vjtools,https://github.com/vipshop/vjtools/blob/b6de2884cf58e07e5e3d7ac240c1e11f56ffd25b/pom.xml,130,284,32,32,NaN,7,31,44,1,NaN,139
TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket/blob/fa3909c391195178ccf5a92d4ac342a30ae247c8/pom.xml,39,152,5,5,NaN,1,5,2,NaN,NaN,17
NLPchina/ansj_seg,https://github.com/NLPchina/ansj_seg,https://github.com/NLPchina/ansj_seg/blob/321b4d82f06863e232ac5f0d02de7a48ea56c0af/plugin/ansj_lucene3_plugin/pom.xml,140,236,31,31,7,9,24,9,7,1,102
Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server/blob/12b9db93238976520a4f3edd090af7da61c95a8d/graylog-plugin-archetype/pom.xml,921,3549,249,249,3,8,243,116,6,3,716
google/closure-compiler,https://github.com/google/closure-compiler,https://github.com/google/closure-compiler/blob/01197b23b19e65bae32494d6635d9d5ab148874c/externs/pom.xml,134,1791,6,6,1,2,4,8,2,1,25
mcxiaoke/android-volley,https://github.com/mcxiaoke/android-volley,https://github.com/mcxiaoke/android-volley/blob/6864be3efadf3a33793228c0ce721a72d7a78731/pom.xml,19,97,4,4,NaN,1,4,2,NaN,NaN,14
