created_at,default_branch,ecore,eobject,forks_count,genmodel,language,pushed_at,repository,sha,sha_data,size,stargazers_count,updated_at,watchers_count,components,duplicates,time,state,http://org.softlang.com/Folder,http://org.softlang.com/File,http://org.softlang.com/Manifest,http://org.softlang.com/Pom,http://org.softlang.com/Gradle,http://org.softlang.com/Ant,uniform_build
2015-07-11T15:34:03Z,master,1.0,6.0,0.0,1.0,Java,2015-07-12T12:49:25Z,ivo-leonov/acse-preparation,0343ab695fdafd264d8b457a453aa4f16f6dde4b,2015-07-12T12:49:15Z,236.0,0.0,2015-07-12T11:07:35Z,0.0,1.0,0.0,688,done,92.0,149.0,1.0,0.0,0.0,0.0,True
2014-08-31T15:50:29Z,master,1.0,4.0,0.0,1.0,Java,2014-08-31T18:38:55Z,TristanFAURE/choixStagesInternes,12619b237a995f55cbfa6580babf976d3e6113d6,2014-08-31T18:37:18Z,240.0,0.0,2014-08-31T18:38:54Z,0.0,1.0,0.0,610,done,50.0,101.0,1.0,0.0,0.0,0.0,True
2013-08-24T17:49:42Z,master,1.0,2.0,0.0,1.0,Java,2013-12-09T21:44:08Z,linaresmariano/objetos3,48861a7da00dbb9f4d1144197791d79dd4b1b10a,2013-12-09T21:34:07Z,824.0,0.0,2013-12-09T21:44:11Z,0.0,1.0,0.0,687,done,99.0,193.0,1.0,0.0,0.0,0.0,True
2012-08-25T10:39:08Z,master,1.0,18.0,0.0,1.0,Java,2012-08-25T12:51:22Z,Bathtor/KompicsIDE,bd20b59470f92156d1e9cb5c2c56e88b97a072b7,2012-08-25T12:51:21Z,400.0,1.0,2013-10-27T06:47:31Z,1.0,1.0,0.0,937,done,35.0,104.0,1.0,0.0,0.0,0.0,True
2016-12-09T00:55:46Z,master,1.0,2.0,0.0,1.0,Java,2016-12-09T00:58:29Z,hh7k8/EmfEpsilon,3f32460376bbc624445d4761dc52c190bbfd86f1,2016-12-09T00:54:47Z,15.0,0.0,2016-12-09T00:58:30Z,0.0,1.0,0.0,781,done,21.0,27.0,1.0,0.0,0.0,0.0,True
2017-02-17T10:13:12Z,master,5.0,18.0,0.0,5.0,Java,2017-02-17T16:15:11Z,manuelleduc/ecore-oa-fsm,b47a7d6f0b7a80cf101ef98330c1c9e8aeeb561e,2017-02-17T16:15:07Z,1396.0,0.0,2017-02-17T10:41:30Z,0.0,1.0,0.0,984,done,271.0,1002.0,1.0,0.0,0.0,0.0,True
2016-10-05T17:13:58Z,master,1.0,8.0,0.0,1.0,Java,2017-06-08T19:41:08Z,abelgomez/cpntools.toolkit,c88e3594f56785d6c31bb401887e899e1d636e5c,2017-06-08T19:38:58Z,7735.0,0.0,2016-10-24T10:53:10Z,0.0,1.0,0.0,766,done,37.0,145.0,1.0,0.0,0.0,0.0,True
2014-11-16T20:31:45Z,master,1.0,5.0,0.0,1.0,Java,2014-11-16T20:32:44Z,vladimirkozhaev/entities,245914c8f78b3194f8dd71c51c458875077fc962,2014-11-16T20:28:13Z,160.0,0.0,2014-11-16T20:32:44Z,0.0,1.0,0.0,640,done,37.0,67.0,1.0,0.0,0.0,0.0,True
2015-04-29T22:31:44Z,master,1.0,0.0,6.0,0.0,C#,2017-05-18T10:20:22Z,bjorsig/Kennitala,a244a3ec88d74ea1c7e71dc6566f4f85b3ea359d,2017-05-18T10:20:21Z,41.0,0.0,2017-05-18T10:19:13Z,0.0,1.0,0.0,640,done,27.0,38.0,1.0,0.0,0.0,0.0,True
2012-09-05T15:01:05Z,master,1.0,8.0,0.0,0.0,Java,2012-09-11T09:58:32Z,matiuz/menumaker,fe4bde2cef42f075f2b594e96aae395529fdc62f,2012-09-11T09:58:30Z,2268.0,0.0,2014-01-10T09:42:03Z,0.0,1.0,0.0,833,done,72.0,732.0,1.0,0.0,0.0,0.0,True
2015-02-03T12:52:31Z,master,1.0,19.0,1.0,1.0,Java,2015-03-03T09:59:22Z,blastgwen/dsl-browser-automatisation,2e467a672b16a746551dd153f0e37338aa67cc69,2015-03-03T09:59:22Z,54816.0,0.0,2015-03-23T09:55:34Z,0.0,1.0,0.0,1297,done,111.0,263.0,1.0,0.0,0.0,0.0,True
2016-05-17T20:10:45Z,master,1.0,75.0,0.0,1.0,Java,2016-05-20T14:52:54Z,RenatoEly/Compiladores,ea4d01019cafad0c17286a6d0e9ffe709a068fdb,2016-05-20T14:52:26Z,6107.0,0.0,2016-05-18T15:39:00Z,0.0,1.0,0.0,1082,done,166.0,814.0,1.0,0.0,0.0,0.0,True
2018-02-06T09:50:41Z,master,0.0,0.0,1.0,1.0,HTML,2018-02-06T11:11:29Z,EkynoxSV/PDC_OC,a04a7ec8181bcb483c0a9d21762bab14385e190f,2018-02-06T11:10:48Z,4.0,0.0,2018-02-06T10:47:00Z,0.0,1.0,0.0,641,done,5.0,8.0,1.0,0.0,0.0,0.0,True
2017-06-01T14:52:01Z,master,1.0,1.0,2.0,1.0,Java,2017-06-10T19:01:46Z,KAMP-Research/KAMP4REQ,c31aecd09100b3dfb93d2c7b8aa9f5ca20a11f70,2017-06-10T19:01:45Z,2663.0,0.0,2017-06-02T13:44:12Z,0.0,1.0,0.0,791,done,68.0,117.0,1.0,0.0,0.0,0.0,True
2014-11-30T21:54:06Z,master,1.0,2.0,0.0,1.0,Java,2014-11-30T22:16:20Z,sfinnie/xtext.scoping.adventures,63b152ccd64bb0678cd8bf5d982944edda7602b9,2014-11-30T21:59:29Z,1804.0,0.0,2014-11-30T22:16:20Z,0.0,1.0,0.0,828,done,92.0,118.0,1.0,0.0,0.0,0.0,True
