http://org.softlang.com/EcorePackageGenmodel,stargazers_count,pushed_at,http://org.softlang.com/EcorePackageXMI,http://org.softlang.com/Folder,language,repository,http://org.softlang.com/Ant,genmodel,http://org.softlang.com/qegal/EJ3,http://org.softlang.com/Pom,http://org.softlang.com/Gradle,http://org.softlang.com/EcorePackageJava,state,http://org.softlang.com/File,http://org.softlang.com/EcoreClassifierJava,http://org.softlang.com/EcoreClassifierXMI,duplicates,http://org.softlang.com/qegal/E,http://org.softlang.com/qegal/G,http://org.softlang.com/Ecore,sha,http://org.softlang.com/correspondsTo,eobject,http://org.softlang.com/qegal/J,size,http://org.softlang.com/partOf,ecore,default_branch,components,sha_data,http://org.softlang.com/manifestsAs,created_at,http://org.softlang.com/Genmodel,http://org.softlang.com/uri,updated_at,http://org.softlang.com/EcoreFactoryJava,http://org.softlang.com/name,http://org.softlang.com/OSGiProject,uniform_build,http://org.softlang.com/XML,http://org.softlang.com/nsUri,http://org.softlang.com/Manifest,http://org.softlang.com/refOccurs,http://org.softlang.com/Java,http://org.softlang.com/elementOf,time,watchers_count,http://org.softlang.com/nsPrefix,forks_count,http://org.softlang.com/refersTo,exception_in_process,http://org.softlang.com/qegal/EJc2,http://org.softlang.com/qegal/EJ1,http://org.softlang.com/qegal/EE
1,1.0,2015-12-10T12:59:42Z,7,101.0,Java,AresEkb/sql,0.0,1.0,7,0.0,0.0,7,done,577.0,70,74,0.0,7,1,1,730dd92b25954307ca0a4251216b98b12910c035,77,33.0,7,917.0,800,1.0,master,1.0,2015-12-10T12:59:18Z,719,2015-11-03T14:03:59Z,1,144,2015-12-11T19:28:11Z,7,74,4,True,16,95,1.0,27,525,717,797,1.0,7,0.0,1,,1,,
1,0.0,2014-05-21T01:45:58Z,1,84.0,Java,educhoko91/ListaProject,0.0,1.0,1,0.0,0.0,1,done,186.0,30,28,0.0,1,1,1,efc5aca98910cb0968041cd670e7ba6e4415da1b,29,6.0,1,2448.0,340,1.0,master,1.0,2014-05-21T01:45:45Z,311,2014-05-08T14:33:04Z,1,58,2014-05-21T01:45:58Z,1,28,3,True,14,31,1.0,26,84,168,701,0.0,1,0.0,1,,,,
2,0.0,2016-05-05T00:06:07Z,2,90.0,Java,jmarsican/emfTest,0.0,2.0,2,0.0,0.0,2,done,223.0,8,8,0.0,2,2,2,cd7ffe721f469532a6d25fb9ca2b02e3e5fdb2fe,10,12.0,2,216.0,366,2.0,master,1.0,2016-04-17T22:57:33Z,355,2016-02-08T15:35:14Z,2,16,2016-02-08T15:46:56Z,2,8,8,True,30,14,1.0,43,64,138,751,0.0,2,0.0,2,,,,
2,0.0,2013-10-16T07:02:58Z,2,130.0,Java,nbhusare/Object-Editor,0.0,2.0,2,0.0,0.0,1,done,226.0,8,16,0.0,2,2,2,48f5fdd15b10381762b9b251641ab6251d52a94b,18,7.0,1,3860.0,416,2.0,master,1.0,2013-10-16T07:01:43Z,397,2013-09-16T12:38:59Z,2,24,2013-10-16T07:02:59Z,1,16,5,True,22,20,1.0,41,75,141,785,0.0,2,0.0,,,,,2
"",0.0,2017-10-16T18:29:48Z,1,39.0,Java,fmde-lab-sessions/exercise-1-pascal-tarin,0.0,0.0,,0.0,0.0,,done,197.0,,3,0.0,1,,1,43433bc0610a900713bfee64b0cd3113ca96d00f,,0.0,,8377.0,290,1.0,ApplicationConditions,1.0,2017-02-06T07:38:35Z,287,2017-10-16T18:29:29Z,,3,2017-10-16T18:29:56Z,,3,1,True,13,4,1.0,3,81,101,898,0.0,1,0.0,,,,1,
1,0.0,2015-07-12T12:49:25Z,1,92.0,Java,ivo-leonov/acse-preparation,0.0,1.0,1,0.0,0.0,1,done,149.0,6,6,0.0,1,1,1,0343ab695fdafd264d8b457a453aa4f16f6dde4b,7,6.0,1,236.0,289,1.0,master,1.0,2015-07-12T12:49:15Z,282,2015-07-11T15:34:03Z,1,12,2015-07-12T11:07:35Z,1,6,3,True,19,9,1.0,27,51,94,688,0.0,1,0.0,,,,,
1,0.0,2014-08-31T18:38:55Z,1,50.0,Java,TristanFAURE/choixStagesInternes,0.0,1.0,1,0.0,0.0,1,done,101.0,9,9,0.0,1,1,1,12619b237a995f55cbfa6580babf976d3e6113d6,10,4.0,1,240.0,202,1.0,master,1.0,2014-08-31T18:37:18Z,192,2014-08-31T15:50:29Z,1,18,2014-08-31T18:38:54Z,1,9,3,True,15,12,1.0,13,50,95,610,0.0,1,0.0,1,,,,
1,0.0,2013-12-09T21:44:08Z,1,99.0,Java,linaresmariano/objetos3,0.0,1.0,1,0.0,0.0,1,done,193.0,7,7,0.0,1,1,1,48861a7da00dbb9f4d1144197791d79dd4b1b10a,8,2.0,1,824.0,341,1.0,master,1.0,2013-12-09T21:34:07Z,333,2013-08-24T17:49:42Z,1,14,2013-12-09T21:44:11Z,1,7,3,True,24,10,1.0,30,71,121,687,0.0,1,0.0,,,,,
1,1.0,2012-08-25T12:51:22Z,1,35.0,Java,Bathtor/KompicsIDE,0.0,1.0,1,0.0,0.0,1,done,104.0,9,9,0.0,1,1,1,bd20b59470f92156d1e9cb5c2c56e88b97a072b7,10,18.0,1,400.0,190,1.0,master,1.0,2012-08-25T12:51:21Z,180,2012-08-25T10:39:08Z,1,18,2013-10-27T06:47:31Z,1,9,2,True,16,12,1.0,12,57,101,937,1.0,1,0.0,1,,,,
1,0.0,2016-12-09T00:58:29Z,1,21.0,Java,hh7k8/EmfEpsilon,0.0,1.0,1,0.0,0.0,1,done,27.0,2,2,0.0,1,1,1,3f32460376bbc624445d4761dc52c190bbfd86f1,3,2.0,1,15.0,92,1.0,master,1.0,2016-12-09T00:54:47Z,89,2016-12-09T00:55:46Z,1,4,2016-12-09T00:58:30Z,1,2,1,True,10,5,1.0,2,10,32,781,0.0,1,0.0,1,,,,
