repo,dependencyFile,url,http://org.softlang.com/Folder,http://org.softlang.com/File,http://org.softlang.com/groupId,http://org.softlang.com/artifactId,http://org.softlang.com/relativePath,http://org.softlang.com/Pom,http://org.softlang.com/MavenDependency,http://org.softlang.com/Property,http://org.softlang.com/ParentBlock,http://org.softlang.com/ParentPom,http://org.softlang.com/resolvable,http://org.softlang.com/Module
crossoverJie/SSM,https://github.com/crossoverJie/SSM,https://github.com/crossoverJie/SSM/blob/774728b849c0242ef9a08651b2d8d677036012c9/SSM-API/pom.xml,231,582,239,239,1,10,230,57,9,2,628,7
apache/pulsar,https://github.com/apache/pulsar,https://github.com/apache/pulsar/blob/8b2929b3e5403fb44653976dc74be287666f7b96/dashboard/pom.xml,1238,3144,695,695,39,84,611,71,84,11,1961,81
spring-projects/spring-data-examples,https://github.com/spring-projects/spring-data-examples,https://github.com/spring-projects/spring-data-examples/blob/8b00fa0500b44afda29297929d88f048c1f579ac/bom/pom.xml,908,6638,250,250,23,76,175,27,75,14,679,75
fyhertz/libstreaming,https://github.com/fyhertz/libstreaming,https://github.com/fyhertz/libstreaming/blob/e71b49c22fc19f41b60b8fef6a3e140a26b9aa82/pom.xml,29,137,1,1,NaN,1,1,NaN,NaN,NaN,3,NaN
cglib/cglib,https://github.com/cglib/cglib,https://github.com/cglib/cglib/blob/400d16c3de3e21f2675ca07fa5b6ce25bbb4d459/cglib-integration-test/pom.xml,61,225,18,18,NaN,6,13,3,5,NaN,42,NaN
raphw/byte-buddy,https://github.com/raphw/byte-buddy,https://github.com/raphw/byte-buddy/blob/4fb6335933db79e87f14e1d4040a5b05b06074ab/byte-buddy-android-test/pom.xml,210,1190,51,51,NaN,9,43,67,8,1,225,13
jhalterman/failsafe,https://github.com/jhalterman/failsafe,https://github.com/jhalterman/failsafe/blob/e3c37eb0482f6bff5eaaf223d7347be475ddf402/pom.xml,26,94,7,7,NaN,1,6,2,1,NaN,22,NaN
chewiebug/GCViewer,https://github.com/chewiebug/GCViewer,https://github.com/chewiebug/GCViewer/blob/c75a91b8a7d2fa6c97083ebb8f505539e45e40f3/pom.xml,56,403,7,7,NaN,1,6,2,1,NaN,22,NaN
apache/hbase,https://github.com/apache/hbase,https://github.com/apache/hbase/blob/025ddce868eb06b4072b5152c5ffae5a01e7ae30/hbase-testing-util/pom.xml,986,4670,867,867,44,44,823,183,44,5,2238,44
languagetool-org/languagetool,https://github.com/languagetool-org/languagetool,https://github.com/languagetool-org/languagetool/blob/a59e098453f402ef4c7f774d2a0edecc3662224f/languagetool-client-example/pom.xml,1477,2680,296,296,45,48,249,17,47,1,949,46
youtube/api-samples,https://github.com/youtube/api-samples,https://github.com/youtube/api-samples/blob/07263305b59a7c3275bc7e925f9ce6cabf774022/java/pom.xml,38,179,7,7,NaN,1,7,6,NaN,NaN,27,NaN
