repository,maven,stargazers_count,forks_count,watchers_count,size,default_branch,language,created_at,updated_at,pushed_at,sha,sha_data,components,duplicates,time,state,Folder,File,Manifest,Pom,Gradle,Ant,uniform_build
alibaba/canal,18,5292,2122,5292,2047,master,Java,2013-01-13T10:59:52Z,2018-07-26T09:51:42Z,2018-07-26T08:06:14Z,8cfb70e0809ba12fa5bc9f0131e4412064d8b1ac,2018-07-26T08:05:33Z,0,0,1556,done,352,436,0.0,1.0,0.0,0.0,True
alibaba/druid,2,12381,4883,12381,53077,master,Java,2011-11-03T05:12:51Z,2018-07-26T18:22:09Z,2018-07-24T15:53:45Z,b3572b7601e16efa34d10bcfcadfe3b887c3dc05,2018-07-20T01:47:43Z,0,0,5003,done,399,4647,1.0,1.0,0.0,0.0,False
alibaba/fastjson,1,14397,4301,14397,11772,master,Java,2011-11-03T06:58:52Z,2018-07-26T13:19:55Z,2018-07-26T22:54:35Z,42252b96fbead7b110de1b7a77ac6aa9e4fa8e75,2018-07-20T09:05:01Z,0,0,2883,done,226,2672,1.0,1.0,0.0,0.0,False
alibaba/jstorm,21,3553,1816,3553,107798,master,Java,2013-09-03T03:53:16Z,2018-07-26T04:59:16Z,2018-05-28T08:40:52Z,5d6cde22dbca7df3d6e6830bf94f98a6639ab559,2018-05-14T03:53:11Z,0,0,2448,done,554,2081,0.0,1.0,0.0,0.0,True
alibaba/otter,17,3339,1388,3339,11981,master,Java,2013-08-09T09:31:22Z,2018-07-26T09:28:52Z,2018-07-24T02:36:21Z,9be083ed38b79502be11ee72a63f276dc3f2eb92,2018-07-23T08:17:39Z,0,0,2569,done,547,1213,1.0,1.0,0.0,0.0,False
androidannotations/androidannotations,22,10388,2475,10388,21918,develop,Java,2012-01-06T08:48:03Z,2018-07-26T09:05:06Z,2018-07-20T18:16:20Z,5703c1a02bcee62e893be7ae0cdc5143313f47e8,2018-06-20T16:33:58Z,0,0,1624,done,420,1090,0.0,1.0,1.0,0.0,False
antlr/antlr4,12,4251,1167,4251,62198,master,Java,2010-02-04T01:36:28Z,2018-07-26T20:46:39Z,2018-07-24T22:56:46Z,1375995edbe869e0eabcef316d2388ca7881f581,2018-07-24T22:56:43Z,0,0,2499,done,257,1875,0.0,1.0,0.0,0.0,True
apache/flink,30,4045,2711,4045,161051,master,Java,2014-06-07T07:00:10Z,2018-07-26T18:06:03Z,2018-07-26T20:51:27Z,fef9300c80fbd3c0215cd6810ed67d6ddeb6ae60,2018-07-26T16:10:09Z,0,0,24185,done,2948,8638,0.0,1.0,0.0,0.0,True
apache/hadoop,30,7699,4892,7699,441120,trunk,Java,2014-08-28T07:00:08Z,2018-07-26T22:55:50Z,2018-07-26T23:02:11Z,77721f39e26b630352a1f4087524a3fbd21ff06e,2018-07-26T22:35:36Z,0,0,24402,done,3466,13518,0.0,1.0,0.0,0.0,True
apache/incubator-dubbo,30,20371,14099,20371,11410,master,Java,2012-06-19T07:56:02Z,2018-07-26T19:37:34Z,2018-07-26T14:35:29Z,e90d95c0d9f1d0fecf411ccf9066d74c88442c6e,2018-07-26T12:21:01Z,0,0,2105,done,1411,1695,0.0,1.0,0.0,0.0,True
apache/incubator-skywalking,30,3934,1236,3934,139413,master,Java,2015-11-07T03:30:36Z,2018-07-26T12:43:16Z,2018-07-26T14:49:21Z,6753478a7769f22ff82aaedbdec79da3a38058fc,2018-07-26T12:03:32Z,0,0,3563,done,2376,2905,0.0,1.0,0.0,0.0,True
