components,sha_data,stargazers_count,pushed_at,Ant,http://org.softlang.com/Folder,http://org.softlang.com/manifestsAs,created_at,language,repository,Folder,http://org.softlang.com/xmlns,updated_at,http://org.softlang.com/OSGiProject,state,uniform_build,http://org.softlang.com/XML,http://org.softlang.com/File,duplicates,maven,http://org.softlang.com/Manifest,Manifest,sha,Pom,http://org.softlang.com/Java,size,http://org.softlang.com/partOf,http://org.softlang.com/elementOf,default_branch,time,Gradle,watchers_count,File,forks_count,http://org.softlang.com/refOccurs
0,2018-07-26T16:10:09Z,4045,2018-07-26T20:51:27Z,0.0,2948,11586,2014-06-07T07:00:10Z,Java,apache/flink,2948,248,2018-07-26T18:06:03Z,,done,True,170,8638,0,30,,0.0,fef9300c80fbd3c0215cd6810ed67d6ddeb6ae60,1.0,6380,161051,11585,6550,master,24185,0.0,4045,8638,2711,
0,2018-07-26T22:35:36Z,7699,2018-07-26T23:02:11Z,0.0,3466,16984,2014-08-28T07:00:08Z,Java,apache/hadoop,3466,358,2018-07-26T22:55:50Z,,done,True,396,13518,0,30,,0.0,77721f39e26b630352a1f4087524a3fbd21ff06e,1.0,10273,441120,16983,10669,trunk,24402,0.0,7699,13518,4892,
0,2018-07-26T12:21:01Z,20371,2018-07-26T14:35:29Z,0.0,1411,3106,2012-06-19T07:56:02Z,Java,apache/incubator-dubbo,1411,294,2018-07-26T19:37:34Z,,done,True,143,1695,0,30,,0.0,e90d95c0d9f1d0fecf411ccf9066d74c88442c6e,1.0,1399,11410,3105,1542,master,2105,0.0,20371,1695,14099,
0,2018-07-26T12:03:32Z,3934,2018-07-26T14:49:21Z,0.0,2376,5281,2015-11-07T03:30:36Z,Java,apache/incubator-skywalking,2376,312,2018-07-26T12:43:16Z,,done,True,167,2905,0,30,,0.0,6753478a7769f22ff82aaedbdec79da3a38058fc,1.0,2371,139413,5280,2538,master,3563,0.0,3934,2905,1236,
0,2018-07-26T17:29:09Z,9048,2018-07-26T20:16:47Z,0.0,619,3305,2011-08-15T18:06:16Z,Java,apache/kafka,619,13,2018-07-26T18:41:02Z,,done,False,11,2686,0,3,,0.0,a932520135d42c7d9731064d96c21ab2fc5de696,1.0,1834,71180,3304,1845,trunk,2223,1.0,9048,2686,5198,
0,2018-07-14T03:01:42Z,4867,2018-07-26T04:04:17Z,0.0,390,1296,2016-11-30T08:00:08Z,Java,apache/rocketmq,390,32,2018-07-26T15:50:39Z,,done,True,36,906,0,16,,0.0,0f76489882d3954fd640e28c7b8704b6d9f3096f,1.0,797,3792,1295,833,master,1427,0.0,4867,906,2231,
0,2018-07-24T19:51:39Z,5187,2018-07-26T22:20:41Z,0.0,1305,4293,2013-11-05T08:00:14Z,Java,apache/storm,1305,161,2018-07-26T12:44:05Z,,done,True,94,2988,0,30,,0.0,7a0fa47f76e5cdfc6a5a0b89352e191b17e74b13,1.0,2324,175731,4292,2418,master,3256,0.0,5187,2988,3661,
0,2018-07-26T07:05:01Z,3682,2018-07-26T21:57:58Z,0.0,1062,2758,2015-03-25T07:00:06Z,Java,apache/zeppelin,1062,143,2018-07-26T09:51:11Z,,done,True,94,1696,0,30,,0.0,76e0027c2d43ac693c86a2123c2b589b9faaaeb3,1.0,625,67539,2757,719,master,2163,0.0,3682,1696,1867,
0,2018-07-26T17:23:02Z,4481,2018-07-26T22:39:36Z,0.0,5406,9852,2011-09-09T01:36:42Z,Java,apereo/cas,5406,94,2018-07-26T21:47:15Z,,done,False,163,4446,0,1,,0.0,64b38c3e701f86e71b4663f19eaa02b03ca84b4a,1.0,2951,1373674,9851,3114,master,14830,1.0,4481,4446,2228,
0,2018-07-26T00:38:50Z,4810,2018-07-26T02:21:10Z,0.0,204,2217,2012-04-10T02:08:05Z,Java,b3log/solo,204,16,2018-07-26T17:17:13Z,,done,True,21,2013,0,1,,0.0,6ebabe3c968b5140b7fed65b7f341711ce27ad03,1.0,217,48656,2216,238,master,2656,0.0,4810,2013,1909,
0,2013-04-23T23:26:53Z,3193,2016-01-12T13:26:25Z,1.0,27,115,2012-06-01T06:32:13Z,Java,bauerca/drag-sort-listview,27,41,2018-07-24T18:12:56Z,,done,False,39,88,0,3,,0.0,c3cfccee21676149dfdf8e803c0ec2eaebc6b841,1.0,24,2461,114,63,master,651,0.0,3193,88,1579,
0,2018-07-26T23:03:27Z,9554,2018-07-26T23:03:57Z,1.0,1427,11281,2014-06-12T16:00:38Z,Java,bazelbuild/bazel,1427,64,2018-07-26T23:04:11Z,,done,False,98,9854,0,20,,0.0,6964a0b68444333ed13a355a7f6799adb931b4aa,1.0,5055,477850,11280,5153,master,12043,1.0,9554,9854,1501,
0,2018-07-18T16:43:00Z,4290,2018-07-18T16:43:02Z,0.0,229,695,2014-12-13T08:45:11Z,Java,ben-manes/caffeine,229,6,2018-07-26T17:20:58Z,,done,False,3,466,0,1,,0.0,29389bef6351bad4b60e8d432a5d1cb208d2db52,1.0,384,96311,694,387,master,1031,1.0,4290,466,383,
0,2018-07-12T17:40:22Z,7430,2018-07-12T17:40:24Z,0.0,32,136,2013-10-08T05:43:03Z,Java,brettwooldridge/HikariCP,32,2,2018-07-26T22:55:15Z,,done,True,3,104,0,1,,0.0,7209aabeccfe0e8e13e72b4e487f406f2e16c796,1.0,86,4937,135,89,dev,756,0.0,7430,104,1143,
0,2018-07-23T19:10:55Z,3791,2018-07-23T19:10:56Z,0.0,561,3064,2013-08-31T02:05:05Z,Java,checkstyle/checkstyle,561,105,2018-07-26T18:55:39Z,,done,True,162,2503,0,1,,0.0,6d6bcc02779c140cad181dd0c99ff5c7b645a54c,1.0,1855,59153,3063,2017,master,2135,0.0,3791,2503,6513,
0,2013-02-02T12:31:46Z,8717,2017-10-13T08:40:58Z,0.0,75,202,2011-11-29T09:59:56Z,Java,chrisbanes/Android-PullToRefresh,75,39,2018-07-26T16:08:22Z,,done,True,56,127,0,6,,0.0,3bd8ef6869c3297bfe874d2f15c2ee53c3456e99,1.0,36,4286,201,92,master,664,0.0,8717,127,5109,
0,2018-07-04T14:56:17Z,7253,2018-07-04T15:00:43Z,1.0,40,350,2010-06-29T20:03:33Z,Java,clojure/clojure,40,2,2018-07-26T22:36:50Z,,done,False,7,310,0,1,,0.0,71511b7800e18c83377a322f43585a853b303698,1.0,176,13623,349,183,master,884,0.0,7253,310,1178,
0,2017-12-02T02:57:06Z,6815,2018-07-09T10:07:06Z,0.0,146,430,2013-04-23T12:57:36Z,Java,code4craft/webmagic,146,14,2018-07-26T14:45:08Z,,done,True,16,284,0,7,,0.0,be892b80bf6682cd063d30ac25a79be0c079a901,1.0,229,17054,429,245,master,852,0.0,6815,284,3166,
