address,current,old,sample,id,repository_type
Robotics-UniBG/HyperFlex,True,True,False,Robotics-UniBG/HyperFlex,git
RovoMe/University,True,True,False,RovoMe/University,git
RushilPatel/BattleForWesnoth,True,True,False,RushilPatel/BattleForWesnoth,git
RvonMassow/Xrest,True,True,False,RvonMassow/Xrest,git
RvonMassow/xDoc,True,True,False,RvonMassow/xDoc,git
SATToSE/SoTeSoLa2012,True,True,False,SATToSE/SoTeSoLa2012,git
SENSIDL-PROJECT/SensIDL,True,True,False,SENSIDL-PROJECT/SensIDL,git
SINTEF-9012/ThingML,False,True,False,SINTEF-9012/ThingML,git
SLAsticSPE/slastic,True,True,False,SLAsticSPE/slastic,git
SeniorSpielbergo/CVclipse,True,True,False,SeniorSpielbergo/CVclipse,git
SimonZutterman/CHOOSE-Source-Code,True,True,False,SimonZutterman/CHOOSE-Source-Code,git
Skovvart/ModelDrivenDevelopmentSource,True,True,False,Skovvart/ModelDrivenDevelopmentSource,git
StephaneSeyvoz/EclipseSiriusTests,True,True,False,StephaneSeyvoz/EclipseSiriusTests,git
SunilKapila1/peterfriese,True,True,False,SunilKapila1/peterfriese,git
Superkiki/Sample-VP-with-GMF-decorators-by-Jabi-,True,True,False,Superkiki/Sample-VP-with-GMF-decorators-by-Jabi-,git
Talend/tbd-studio-se,True,True,False,Talend/tbd-studio-se,git
Talend/tcommon-studio-se,True,True,False,Talend/tcommon-studio-se,git
Talend/tdi-studio-se,True,True,False,Talend/tdi-studio-se,git
Talend/tesb-studio-se,True,True,False,Talend/tesb-studio-se,git
Talend/tmdm-studio-se,True,True,False,Talend/tmdm-studio-se,git
TemenosDS/LearningSirius,False,True,False,TemenosDS/LearningSirius,git
TestMode/Editor,False,True,False,TestMode/Editor,git
TestingTechnologies/TTmodeler,False,True,False,TestingTechnologies/TTmodeler,git
Tetr4/QWidget,True,True,False,Tetr4/QWidget,git
Tetr4/QtQuick,True,True,False,Tetr4/QtQuick,git
TheScientist/MGT-Mobile-GUI-Testframework,True,True,False,TheScientist/MGT-Mobile-GUI-Testframework,git
TommyMagron/hospitaliot,True,True,False,TommyMagron/hospitaliot,git
TransformationToolContest/ttc14-live-contest-solutions,True,True,False,TransformationToolContest/ttc14-live-contest-solutions,git
Tranxen200/FMUSim-Rodin,True,True,True,Tranxen200/FMUSim-Rodin,git
UFC-QUIXADA-GESMA/Composicao-De-Modelos-SMA,False,True,False,UFC-QUIXADA-GESMA/Composicao-De-Modelos-SMA,git
UNC-Libraries/metadata-model-tools,True,True,False,UNC-Libraries/metadata-model-tools,git
UNIT-Research-Development/AbstractSyntax,True,True,False,UNIT-Research-Development/AbstractSyntax,git
UNIT-Research-Development/CodeGeneration,True,True,False,UNIT-Research-Development/CodeGeneration,git
UNIT-Research-Development/GraphicalConcreteSyntax,True,True,False,UNIT-Research-Development/GraphicalConcreteSyntax,git
UNIT-Research-Development/ModelTransformation,True,True,False,UNIT-Research-Development/ModelTransformation,git
UNIT-Research-Development/TextualConcreteSyntax,True,True,False,UNIT-Research-Development/TextualConcreteSyntax,git
UOY-Enterprise/mt2-tutorial,True,True,False,UOY-Enterprise/mt2-tutorial,git
UOY-Enterprise/parallel-crepe-locality,True,True,False,UOY-Enterprise/parallel-crepe-locality,git
UrsZeidler/shr5rcp,True,True,False,UrsZeidler/shr5rcp,git
ValentinMumble/idm-tp2,True,True,False,ValentinMumble/idm-tp2,git
Vectovox/DAT240-2014-Group3,True,True,False,Vectovox/DAT240-2014-Group3,git
VeriATL/VeriATL,False,True,False,VeriATL/VeriATL,git
ViViD-DiverSE/VM-Source,True,True,False,ViViD-DiverSE/VM-Source,git
WenboL/CAS756,True,True,False,WenboL/CAS756,git
